DB name	Example id	Identifiers.org namespace	Canonical LOD URI	Type	ignore	regex	EDAM type	EDAM term
TAIR_LOCUS	AT3G18710	tair.locus						
TAIR_LOCUS_MODEL	AT3G18710.1	tair.locus						
TAIR_SYMBOL	ATA7				1			
TAIR_TRANSLATION	AT3G18710				1			
TIGR_GeneIndex	TC60870				1			
TIGR_LOCUS	LOC_Os11g38650.1				1			
TransFac	T01396				1			
UCSC					1			
UniGene	Acr.9311	unigene						
UniParc	UPI00000008FF	uniparc	http://purl.uniprot.org/uniparc/	http://purl.uniprot.org/core/Sequence				
UniPathway	UPA00545	unipathway						
Uniprot/SPTREMBL	A4D9Z1	uniprot	http://purl.uniprot.org/uniprot/	http://purl.uniprot.org/core/Protein				
Uniprot/SPTREMBL_predicted	Q4T6H2	uniprot	http://purl.uniprot.org/uniprot/	http://purl.uniprot.org/core/Protein				
Uniprot/SWISSPROT	A0MH06	uniprot	http://purl.uniprot.org/uniprot/	http://purl.uniprot.org/core/Reviewed_Protein				
Uniprot/SWISSPROT_predicted		uniprot	http://purl.uniprot.org/uniprot/	http://purl.uniprot.org/core/Reviewed_Protein				
Uniprot_gn								
Uniprot_gn_trans_name					1			
Vega_gene	OTTDARG00000029138				1			
Vega_transcript					1			
Vega_translation					1			
WikiGene	100125760	wikigenes						
wormbase_gene	WBGene00022613	wormbase						
wormbase_gseqname	WBGene00022613	wormbase						
wormbase_locus	WBGene00022613	wormbase						
wormbase_transcript	ZC449.3a.1				1			
wormpep_id	CE29622				1			
Xenbase	XB-GENE-5753086	xenbase						
Xenbase_trans_name	golt1b-201				1			
ZFIN_ID	ZDB-GENE-040718-36	zfin						
ZFIN_ID_trans_name	hvcn1-201				1			
